левобережье, химки;http://khimki.cian.ru/cat.php?region=175378&flats=yes&deal_type=2&ipoteka=1&currency=2&maxprice=7000000&room2=1&room3=1&room4=1&mintarea=50&minfloor=2&minfloorn=6&sost_type=1&minbalkon=1&in_polygon%5B0%5D=37.459357_55.883498,37.467425_55.883980,37.473948_55.886007,37.482875_55.889480,37.484591_55.893821,37.485449_55.898643,37.483218_55.901344,37.478411_55.904526,37.475493_55.906937,37.472918_55.907515,37.469142_55.900572,37.469142_55.897582,37.467768_55.892952,37.467768_55.891312,37.466052_55.890155,37.462275_55.888033,37.459357_55.883498&polygon_name%5B0%5D=%D0%9E%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C%20%D0%BF%D0%BE%D0%B8%D1%81%D0%BA%D0%B0%201&object_type%5B0%5D=1&engine_version=2;;;;;
химки;http://khimki.cian.ru/cat.php?region=4593&flats=yes&deal_type=2&location%5B0%5D=5044&ipoteka=1&currency=2&maxprice=7000000&wp=1&room2=1&room3=1&room4=1&mintarea=50&minfloor=2&minfloorn=6&sost_type=1&minbalkon=1&object_type%5B0%5D=1&engine_version=2;;;;;
мытищи, с балконом, ипотека, площадь от 50;http://mytishchi.cian.ru/cat.php?region=175378&flats=yes&deal_type=2&ipoteka=1&currency=2&maxprice=7000000&room2=1&room3=1&room4=1&minfloor=2&minfloorn=6&sost_type=1&minbalkon=1&object_type%5B0%5D=1&engine_version=2;;;;;
одинцово;http://odintsovo.cian.ru/cat.php?region=175578&flats=yes&deal_type=2&currency=2&maxprice=7000000&wp=1&room2=1&room3=1&room4=1&mintarea=50&minfloor=2&minfloorn=6&sost_type=1&minbalkon=1&object_type%5B0%5D=1&engine_version=2;;;;;
люберцы;http://lyubertsy.cian.ru/cat.php?region=175231&flats=yes&deal_type=2&ipoteka=1&currency=2&maxprice=7000000&wp=1&room2=1&room3=1&room4=1&mintarea=50&minfloor=2&minfloorn=6&sost_type=1&minbalkon=1&object_type%5B0%5D=1&engine_version=2;;;;;
видное;http://vidnoye.cian.ru/cat.php?region=174508&flats=yes&deal_type=2&ipoteka=1&currency=2&maxprice=7000000&wp=1&room2=1&room3=1&mintarea=50&minfloor=2&minfloorn=6&sost_type=1&minbalkon=1&object_type%5B0%5D=1&engine_version=2;;;;;
реутов;http://reutov.cian.ru/cat.php?region=4958&flats=yes&deal_type=2&ipoteka=1&currency=2&maxprice=7000000&wp=1&room2=1&room3=1&room4=1&mintarea=50&minfloor=2&minfloorn=6&sost_type=1&minbalkon=1&object_type%5B0%5D=1&engine_version=2;;;;;
москва не дальше 40 м пешком до метро;http://www.cian.ru/cat.php?region=1&flats=yes&deal_type=2&ipoteka=1&currency=2&maxprice=7000000&wp=1&room2=1&room3=1&room4=1&foot_min=40&only_foot=2&minfloor=2&minfloorn=6&sost_type=1&minbalkon=1&object_type%5B0%5D=1&engine_version=2;;;;;
щербинка;http://www.cian.ru/cat.php?region=4935&flats=yes&deal_type=2&location%5B0%5D=189141&ipoteka=1&currency=2&maxprice=7000000&wp=1&room2=1&room3=1&room4=1&foot_min=40&minfloor=2&minfloorn=6&sost_type=1&minbalkon=1&object_type%5B0%5D=1&engine_version=2;;;;;
подольск;http://podolsk.cian.ru/cat.php?region=4935&flats=yes&deal_type=2&ipoteka=1&currency=2&maxprice=7000000&wp=1&room2=1&room3=1&room4=1&foot_min=40&minfloor=2&minfloorn=6&sost_type=1&minbalkon=1&object_type%5B0%5D=1&engine_version=2;;;;;
домодедово;http://domodedovo.cian.ru/cat.php?region=174640&flats=yes&deal_type=2&ipoteka=1&currency=2&maxprice=7000000&wp=1&room2=1&room3=1&room4=1&foot_min=40&minfloor=2&minfloorn=6&sost_type=1&minbalkon=1&object_type%5B0%5D=1&engine_version=2;;;;;
